
=== action (n=74975) ===
 beta | argmax_f1 (their ruler) |  nested_thr_f1 (OUR ruler)
  0.0 |                0.27780 |                    0.29583
  0.1 |                0.28379 |                    0.29742
  0.2 |                0.28927 |                    0.29837
  0.3 |                0.29297 |                    0.29798
  0.4 |                0.29844 |                    0.30031
  0.5 |                0.30174 |                    0.30085
  0.6 |                0.30195 |                    0.30182
  0.7 |                0.30045 |                    0.30132
  0.8 |                0.29612 |                    0.29990
  0.9 |                0.29038 |                    0.29957
  1.0 |                0.27806 |                    0.29851
  1.1 |                0.23640 |                    0.27763
  1.2 |                0.17440 |                    0.22083
  1.3 |                0.11641 |                    0.13460
  1.4 |                0.07722 |                    0.08689
  1.5 |                0.04113 |                    0.04733
  OUR ruler: beta=1.0 -> 0.29851 | best beta=0.6 -> 0.30182 | lift=+0.00330

=== point (n=74975) ===
 beta | argmax_f1 (their ruler) |  nested_thr_f1 (OUR ruler)
  0.0 |                0.12193 |                    0.17965
  0.1 |                0.13763 |                    0.18518
  0.2 |                0.15191 |                    0.19052
  0.3 |                0.16304 |                    0.19194
  0.4 |                0.17476 |                    0.19370
  0.5 |                0.18266 |                    0.19408
  0.6 |                0.18687 |                    0.19395
  0.7 |                0.18926 |                    0.19390
  0.8 |                0.18877 |                    0.19385
  0.9 |                0.18431 |                    0.19197
  1.0 |                0.17831 |                    0.19086
  1.1 |                0.16820 |                    0.18736
  1.2 |                0.15213 |                    0.18203
  1.3 |                0.12810 |                    0.17349
  1.4 |                0.09470 |                    0.16936
  1.5 |                0.05853 |                    0.15101
  OUR ruler: beta=1.0 -> 0.19086 | best beta=0.5 -> 0.19408 | lift=+0.00322

=== OUR-ruler overall lift if per-target beta adopted = 0.4*(+0.00330++0.00322) = +0.00261 (floor 0.00168) ===
